ImageNumber	ObjectNumber	Metadata_ChannelNumber	Metadata_FileLocation	Metadata_Frame	Metadata_Plate	Metadata_Series	Metadata_Site	Metadata_Well	Metadata_Well	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Center_Z	AreaShape_Compactness	AreaShape_Eccentricity	AreaShape_EulerNumber	AreaShape_Extent	AreaShape_FormFactor	AreaShape_MajorAxisLength	AreaShape_MaxFeretDiameter	AreaShape_MaximumRadius	AreaShape_MeanRadius	AreaShape_MedianRadius	AreaShape_MinFeretDiameter	AreaShape_MinorAxisLength	AreaShape_Orientation	AreaShape_Perimeter	AreaShape_Solidity	Children_Cytoplasm_Norm_Count	Children_cytoplasm_nucplus_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_nuclei
2	13			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	43791	970.0	730.0	1.0	1.352326546341524	0.8761623786356576	1.0	0.5370888218411951	0.6426509574633309	349.0544384735118	353.8375333398084	86.05230967266364	30.824681266875327	27.80287754891569	175.46918596483098	168.24984666677892	-33.83541721558714	925.3579999999956	0.9538756439439318	1	1	937.0852686625105	750.8762759471124	0	13	13
2	14			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	10392	638.0	819.0	1.0	1.081386021305226	0.6511001683624268	1.0	0.700505561172902	0.6188207035872829	134.51719222811317	134.07833531186162	44.204072210600685	16.021608611723206	14.317821063276353	103.24446575012725	102.09744748104744	-24.86867651911209	459.3799999999986	0.9517790905344142	1	1	630.3827944572748	811.2111239414935	0	14	14
2	15			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	9311	208.0	842.0	1.0	1.1096998986712503	0.762811352617836	1.0	0.681425644028103	0.804594224402449	135.9815596301014	134.84806264830058	43.04648650006177	16.663950108458696	15.0	87.56852261998117	87.9285449687237	52.10232322968913	381.3419999999989	0.9823284274938018	1	1	215.43099559660615	847.2281172806358	0	15	15
2	16			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	33014	1012.0	915.0	1.0	1.3073463983803508	0.8368517231489503	1.0	0.6706754697816151	0.6468110823470898	290.18743166357683	281.4551474036316	76.92203845452875	26.792133636149533	24.55602454838011	175.2720795985272	158.8571966660386	-9.597819076004479	800.8759999999976	0.9439853601349613	1	1	976.1257042466832	921.0410129036167	0	16	16
2	17			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	9126	477.0	967.0	1.0	1.059622629469337	0.6990408488076186	1.0	0.766633064516129	0.7724729726048429	127.43390806545305	127.88275880665071	45.39823785126467	16.978560747927382	15.132745950421556	92.0	91.12566043081557	-0.5640098136532372	385.30399999999895	0.9727655492192082	1	0	477.2762436993206	968.2332895025203	0	17	17
3	1			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	8247	199.0	68.0	1.0	1.1912922519241287	0.8349441587564297	1.0	0.7381847475832438	0.7562099978668132	138.33908054031446	134.937022347464	37.0	14.950316935007338	13.892443989449804	74.63685669532506	76.1327925834615	-15.242971219733063	370.1959999999991	0.9711493170042392	1	0	183.01830968837152	71.13544319146357	0	1	1
3	2			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	14644	268.0	150.0	1.0	1.4391606598972906	0.7084347510646049	1.0	0.4901593252108716	0.4036186921228689	188.90475047650864	197.99494943053472	40.792156108742276	14.443322915912717	12.806248474865697	149.26196814706395	133.3244982315319	85.85310786072326	675.2259999999974	0.7985821404226312	1	1	284.23559136847854	148.3240234908495	0	2	2
3	3			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	41837	455.0	124.0	1.0	1.1865125554856129	0.7817314503679756	1.0	0.6167192429022083	0.6288614318711494	301.0404015164225	343.237527085836	91.706052144883	32.99408865355548	29.698484809834994	202.85797672880213	187.73337546988424	-65.19393565767234	914.3399999999964	0.902476379481427	1	1	435.9964385591701	135.93481846212683	0	3	3
3	4			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	37266	201.0	260.0	1.0	1.2793915991921505	0.7916782246361054	1.0	0.5971349826945264	0.5733937226473835	296.70860500491403	321.21799451462863	77.4919350642375	27.016592739642782	24.698178070456937	205.6762700993459	181.2706464220126	41.5510578570843	903.7219999999963	0.8459835870194434	1	1	209.9143723501315	247.1381420061182	0	4	4
3	5			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	30123	841.0	308.0	1.0	1.025698738054276	0.5288497386605041	1.0	0.7030199775952203	0.8191648713197741	213.4250605172426	218.4055860091495	85.27602242131137	30.82813010666921	27.459060435491963	176.69975996089977	181.13715116294287	51.826596893624554	679.7799999999972	0.9681027140814066	1	1	846.338213325366	312.79789529595325	0	5	5
