ImageNumber	ObjectNumber	Metadata_ChannelNumber	Metadata_FileLocation	Metadata_Frame	Metadata_Plate	Metadata_Series	Metadata_Site	Metadata_Well	Metadata_Well	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Center_Z	AreaShape_Perimeter	AreaShape_Solidity	Children_CaprinSG_Count	Children_SG_Count	Intensity_IntegratedIntensity_G3BP	Intensity_IntegratedIntensity_GFP	Intensity_MeanIntensity_G3BP	Intensity_MeanIntensity_GFP	Intensity_MedianIntensity_G3BP	Intensity_MedianIntensity_GFP	Intensity_StdIntensity_GFP	Location_CenterMassIntensity_X_G3BP	Location_CenterMassIntensity_X_GFP	Location_CenterMassIntensity_Y_G3BP	Location_CenterMassIntensity_Y_GFP	Location_CenterMassIntensity_Z_G3BP	Location_CenterMassIntensity_Z_GFP	Location_Center_X	Location_Center_Y	Location_MaxIntensity_X_G3BP	Location_MaxIntensity_X_GFP	Location_MaxIntensity_Y_G3BP	Location_MaxIntensity_Y_GFP	Location_MaxIntensity_Z_G3BP	Location_MaxIntensity_Z_GFP	Mean_CaprinSG_Distance_Centroid_Cytoplasm_Norm	Mean_CaprinSG_Distance_Minimum_Cytoplasm_Norm	Mean_CaprinSG_Location_Center_X	Mean_CaprinSG_Location_Center_Y	Mean_CaprinSG_Number_Object_Number	Number_Object_Number
3	11			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	5587	409.0	771.0	1.0	985.2759999999963	0.37587459634015075	0	0	9.376958874752745	7.100175477098674	0.0016783531188030688	0.0012708386391800024	0.0016937514301389456	0.0012664988171309233	3.8915648985499654e-05	397.7286869893364	397.1082590101223	789.7354500023596	789.5289505920784	0.0	0.0	396.98997673169856	789.4734204403079	416.0	400.0	812.0	824.0	0.0	0.0						11
4	1			0	SG 40x Cap1-wt FGDF	0	12	A01	A01	17093	1057.0	0.0	1.0	1121.9199999999964	0.591985869640507	0	0	25.390707249753177	23.33562218118459	0.0014854447580736662	0.0013652151278994084	0.0014801251236349344	0.0013427939265966415	0.00011079440572766701	964.2993503527687	964.0781939449421	70.81019303116624	70.34121035767998	0.0	0.0	965.4667407710759	71.16960159129468	917.0	921.0	53.0	24.0	0.0	0.0						1
4	2			0	SG 40x Cap1-wt FGDF	0	12	A01	A01	6480	532.0	82.0	1.0	878.2699999999967	0.4115330877683221	0	0	9.718852519290522	8.130861369892955	0.001499822919643599	0.0012547625570822462	0.001495384145528078	0.0012512397952377796	3.6196216029838295e-05	493.68143815990896	493.919734412299	73.40039408093574	73.67753201615446	0.0	0.0	493.8895061728395	73.72623456790123	493.0	513.0	24.0	92.0	0.0	0.0						2
4	3			0	SG 40x Cap1-wt FGDF	0	12	A01	A01	479	276.0	138.0	1.0	799.607999999997	0.04412713035467528	0	0	0.7534599830396473	0.5878080413676798	0.00157298535081346	0.0012271566625630058	0.0015716792549937963	0.0012207217514514923	3.413313069071232e-05	228.5231682125643	229.70030112662894	133.21236178055005	133.00737241057058	0.0	0.0	229.68475991649268	132.81837160751564	185.0	232.0	180.0	196.0	0.0	0.0						3
4	4			0	SG 40x Cap1-wt FGDF	0	12	A01	A01	17726	606.0	88.0	1.0	1055.1739999999963	0.6291169789892105	0	0	27.029221020638943	22.768276488175616	0.0015248347636601005	0.0012844565321096478	0.0015106431674212217	0.001281757839024067	5.003163051220482e-05	595.4200365820612	595.5880837922444	176.43642003884023	176.4574661940502	0.0	0.0	595.6644477039378	176.35399977434278	585.0	583.0	229.0	243.0	0.0	0.0						4
4	5			0	SG 40x Cap1-wt FGDF	0	12	A01	A01	9268	486.0	371.0	1.0	883.9899999999969	0.5245938755872531	0	0	14.21783779328689	11.654962994158268	0.0015340783117486934	0.0012575488772289887	0.0015259021893143654	0.0012512397952377796	3.775853050347689e-05	465.3713228428597	465.8276386212242	320.11492799694344	320.21904588587705	0.0	0.0	465.8493741907639	320.25755287009065	474.0	477.0	254.0	260.0	0.0	0.0						5
4	6			0	SG 40x Cap1-wt FGDF	0	12	A01	A01	329	170.0	336.0	1.0	513.8439999999974	0.07440913717064344	0	0	0.4638132294639945	0.4005493246950209	0.0014097666549057583	0.0012174751510486959	0.0013885709922760725	0.0012207217514514923	3.467680153363487e-05	146.41985787603633	146.78918095238095	362.4750296091591	364.1310857142857	0.0	0.0	146.8419452887538	364.17021276595744	130.0	119.0	329.0	335.0	0.0	0.0						6
4	7			0	SG 40x Cap1-wt FGDF	0	12	A01	A01	13547	591.0	310.0	1.0	1007.7279999999959	0.5537185015634262	0	0	21.61908903135918	17.569878686685115	0.001595858052067556	0.0012969571629648715	0.0015716792549937963	0.0012970168609172106	5.6047181281703496e-05	629.9842632059272	629.2973758122424	361.1034728089288	360.18316337253634	0.0	0.0	628.9075810142467	360.0868088875766	595.0	675.0	437.0	347.0	0.0	0.0						7
4	8			0	SG 40x Cap1-wt FGDF	0	12	A01	A01	406	53.0	431.0	1.0	641.8179999999973	0.05778125667117343	0	0	0.568383306497708	0.495307850651443	0.0013999588829992807	0.001219970075496165	0.0013885709922760725	0.0012207217514514923	3.4363185078273775e-05	98.05908883459959	99.7229821318546	407.88920507933096	407.2121996303142	0.0	0.0	99.78571428571429	407.1871921182266	66.0	76.0	449.0	365.0	0.0	0.0						8
5	1			0	SG 40x Cap1-wt FGDF	0	13	A01	A01	25003	492.0	0.0	1.0	1373.4979999999948	0.6109095351536254	0	2	39.44139771722257	41.707850757054985	0.0015774666126953795	0.0016681138566194051	0.0015564202331006527	0.001632715342566371	0.0001676079545842065	516.879991504152	516.7200833124796	77.75779559825317	78.47695955547165	0.0	0.0	516.7059152901652	77.59212894452666	432.0	425.0	143.0	139.0	0.0	0.0						1
